,구별,연령별,시도간전입(2015),시도간전입(2016),시도간전입(2017),시도간전입(2018),시도간전입(2019),시도간전입(2020),시도간전입(2021),시도간전입(2022)
172,경기도,40 - 44세,51477,50533,47107,50586,46231,52747,49720,39968
173,경기도,45 - 49세,40688,42890,41980,45271,43181,46800,41140,31687
174,경기도,50 - 54세,37708,37679,34960,37051,36476,41203,40145,32646
175,경기도,55 - 59세,35100,37110,35133,37224,34015,37421,34725,26966
176,경기도,60 - 64세,25425,27632,27091,30186,28727,33922,34116,26243
177,경기도,65 - 69세,17851,18483,17682,18803,17265,21151,21917,17440
178,경기도,70 - 74세,13640,13192,12339,13183,12070,14033,14009,10380
179,경기도,75 - 79세,9723,9948,9621,10848,9297,10696,10132,7504
180,경기도,80세이상,11608,12254,12104,13699,13196,14542,15434,12844
181,강원특별자치도,계,87107,82563,80690,76312,77945,82291,83458,75874
182,강원특별자치도,0 - 4세,4354,4056,3733,3425,3302,3230,2661,2283
183,강원특별자치도,5 - 9세,3178,2980,2750,2671,2700,2909,2808,2378
184,강원특별자치도,10 - 14세,2508,2107,1778,1782,1782,1917,1849,1810
185,강원특별자치도,15 - 19세,5220,4689,4430,4040,4173,3261,3279,3508
186,강원특별자치도,20 - 24세,12184,10085,10409,8928,9507,9745,9965,9508
187,강원특별자치도,25 - 29세,10514,9798,10112,9843,10529,11395,11717,10666
188,강원특별자치도,30 - 34세,9277,8840,8042,7243,7444,7840,7856,7328
189,강원특별자치도,35 - 39세,7251,6945,6979,6881,6884,7015,6694,5511
190,강원특별자치도,40 - 44세,6326,5876,5300,5014,4967,5460,5721,5286
191,강원특별자치도,45 - 49세,5614,5758,5490,5180,5112,5502,5195,4545
192,강원특별자치도,50 - 54세,5665,5540,5343,5027,5129,5674,5735,5158
193,강원특별자치도,55 - 59세,5276,5699,5729,5550,5444,5618,5730,5141
194,강원특별자치도,60 - 64세,3568,4028,4251,4400,4673,5451,6159,5408
195,강원특별자치도,65 - 69세,2175,2209,2228,2340,2404,2970,3379,3237
196,강원특별자치도,70 - 74세,1565,1542,1536,1445,1461,1613,1750,1559
197,강원특별자치도,75 - 79세,1114,1078,1134,1127,1004,1161,1178,992
198,강원특별자치도,80세이상,1318,1333,1446,1416,1430,1530,1782,1556
199,충청북도,계,81362,78523,77352,80016,78012,82742,82870,76181
200,충청북도,0 - 4세,4071,3671,3494,3387,2979,2984,2393,1913
201,충청북도,5 - 9세,2782,2688,2551,2576,2411,2583,2261,1912
202,충청북도,10 - 14세,2192,1967,1905,1848,1899,1881,1669,1413
203,충청북도,15 - 19세,4332,3979,3903,3505,3902,3028,3088,3226
204,충청북도,20 - 24세,9289,9249,9111,9335,9479,10013,10554,10730
