"ÇàÁ¤±¸¿ªº°","Ç×¸ñ",2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"ÇàÁ¤±¸¿ªº°","Ç×¸ñ",°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó
"´ã¾ç±º","±Í³ó°¡±¸¿ø¼ö (¸í)",158,45,25,41,42,5,178,35,27,50,57,9,194,52,34,53,45,10,113,23,17,32,32,9
"°î¼º±º","±Í³ó°¡±¸¿ø¼ö (¸í)",111,27,12,31,30,11,112,20,12,41,27,12,160,29,16,56,42,17,135,18,13,38,56,10
"±¸·Ê±º","±Í³ó°¡±¸¿ø¼ö (¸í)",74,16,5,28,23,X,74,14,11,24,20,5,84,15,7,28,28,6,75,8,4,26,34,X
"°íÈï±º","±Í³ó°¡±¸¿ø¼ö (¸í)",240,48,35,78,66,13,249,44,33,75,73,24,283,41,32,86,98,26,237,38,17,74,95,13
"º¸¼º±º","±Í³ó°¡±¸¿ø¼ö (¸í)",142,27,23,50,34,8,164,31,21,49,52,11,197,30,23,60,66,18,106,16,14,41,27,8
"È­¼ø±º","±Í³ó°¡±¸¿ø¼ö (¸í)",147,30,19,44,38,16,202,27,32,63,55,25,191,31,20,70,53,17,137,21,13,37,53,13
"ÀåÈï±º","±Í³ó°¡±¸¿ø¼ö (¸í)",119,35,13,32,30,9,125,20,21,39,36,9,114,15,17,36,37,9,82,14,12,22,23,11
"°­Áø±º","±Í³ó°¡±¸¿ø¼ö (¸í)",136,30,8,40,45,13,137,20,23,41,39,14,133,24,20,37,46,6,80,9,17,22,29,X
"ÇØ³²±º","±Í³ó°¡±¸¿ø¼ö (¸í)",167,42,30,49,34,12,186,50,30,47,43,16,187,39,24,52,64,8,200,35,33,57,64,11
"¿µ¾Ï±º","±Í³ó°¡±¸¿ø¼ö (¸í)",166,42,22,62,28,12,170,40,32,45,41,12,171,41,17,45,50,18,155,29,18,42,54,12
"¹«¾È±º","±Í³ó°¡±¸¿ø¼ö (¸í)",135,37,22,34,31,11,244,93,40,55,42,14,269,85,43,67,63,11,139,35,27,26,37,14
"ÇÔÆò±º","±Í³ó°¡±¸¿ø¼ö (¸í)",147,18,13,53,45,18,144,16,26,39,49,14,183,30,14,54,65,20,107,13,12,36,40,6
"¿µ±¤±º","±Í³ó°¡±¸¿ø¼ö (¸í)",131,31,23,43,31,X,135,31,18,33,40,13,115,24,17,30,37,7,86,11,16,28,28,X
"Àå¼º±º","±Í³ó°¡±¸¿ø¼ö (¸í)",149,29,22,54,32,12,150,24,25,65,33,X,170,32,21,52,51,14,145,24,24,45,43,9
"¿Ïµµ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",68,17,9,18,19,5,72,13,10,18,23,8,89,13,13,32,24,7,60,9,7,17,24,X
"Áøµµ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",67,13,10,22,16,6,98,22,15,36,20,5,108,22,14,29,39,4,79,16,10,20,24,9
"½Å¾È±º","±Í³ó°¡±¸¿ø¼ö (¸í)",138,28,21,42,40,7,128,25,22,40,28,13,175,22,15,69,52,17,119,13,15,36,45,10
"°æ»óºÏµµ","±Í³ó°¡±¸¿ø¼ö (¸í)",3036,595,398,1084,777,182,3135,567,380,1043,901,244,3654,659,420,1124,1237,214,3317,518,331,997,1199,272
"Æ÷Ç×½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",140,46,28,33,26,7,126,25,19,34,34,14,171,38,24,46,54,9,157,28,17,55,45,12
"°æÁÖ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",191,62,18,55,41,15,152,31,21,50,40,10,178,36,14,70,51,7,143,17,9,40,70,7
"±èÃµ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",219,42,37,78,50,12,238,46,44,73,62,13,263,70,35,73,74,11,266,46,33,85,83,19
"¾Èµ¿½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",171,33,20,61,54,X,220,48,19,64,61,28,214,33,16,72,79,14,189,30,14,50,78,17
"±¸¹Ì½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",128,42,19,35,29,X,92,21,12,31,22,6,131,42,20,27,39,X,125,38,18,35,27,7
"¿µÁÖ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",104,16,11,36,31,10,120,28,13,43,29,7,145,30,17,43,46,9,148,24,16,53,50,5
"¿µÃµ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",213,43,29,72,52,17,189,26,24,73,51,15,224,27,32,72,80,13,221,31,28,58,83,21
"»óÁÖ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",232,34,31,86,63,18,268,49,39,90,60,30,282,48,36,93,93,12,280,56,27,74,95,28
"¹®°æ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",125,23,13,62,22,5,152,23,22,51,49,7,218,34,29,74,67,14,182,20,14,57,77,14
"°æ»ê½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",78,16,11,26,21,4,97,16,16,30,23,12,119,37,14,38,25,5,120,29,18,33,32,8
"±ºÀ§±º","±Í³ó°¡±¸¿ø¼ö (¸í)",92,6,7,51,24,4,104,16,8,36,36,8,136,19,12,41,54,10,145,15,8,49,65,8
"ÀÇ¼º±º","±Í³ó°¡±¸¿ø¼ö (¸í)",260,52,24,96,75,13,277,39,19,98,100,21,292,40,23,101,111,17,259,27,25,84,97,26
"Ã»¼Û±º","±Í³ó°¡±¸¿ø¼ö (¸í)",139,17,21,60,34,7,143,27,14,49,43,10,152,24,15,49,55,9,120,9,11,38,47,15
"¿µ¾ç±º","±Í³ó°¡±¸¿ø¼ö (¸í)",56,6,7,25,13,5,83,12,11,30,27,X,95,11,13,28,37,6,65,11,8,17,23,6
"¿µ´ö±º","±Í³ó°¡±¸¿ø¼ö (¸í)",79,15,10,26,20,8,65,9,7,25,19,5,86,7,13,28,35,X,60,8,10,19,20,X
"Ã»µµ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",184,51,17,58,48,10,147,24,15,44,52,12,168,20,12,55,66,15,158,26,15,52,51,14
